Jul - Jun reference period,Offence Subdivision,Offence Group,Location Division,Location Subdivision,Location Group,Offence Count
2016,B20 Property damage,B29 Other property damage offences,2 Community,21 Education,211 School,2
2016,B20 Property damage,B29 Other property damage offences,2 Community,22 Health,221 Hospital,2
2016,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,241 Train,1
2016,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,242 Train Station,5
2016,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,243 Railway Carpark,7
2016,B20 Property damage,B29 Other property damage offences,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2016,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,251 Private Car,7
2016,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,254 Dock/Wharf,3
2016,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,255 Carpark (Single Level),49
2016,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,256 Carpark (Multi Level),8
2016,B20 Property damage,B29 Other property damage offences,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2016,B20 Property damage,B29 Other property damage offences,2 Community,27 Open Space,271 Parkland/Reserve,1
2016,B20 Property damage,B29 Other property damage offences,2 Community,27 Open Space,274 Beach Foreshore,1
2016,B20 Property damage,B29 Other property damage offences,2 Community,27 Open Space,275 Other Open Space,2
2016,B20 Property damage,B29 Other property damage offences,2 Community,28 Street/footpath,281 Street/Lane/Footpath,143
2016,B20 Property damage,B29 Other property damage offences,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,3311 Restaurant/Fastfood,2
2016,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,3312 Other Retail,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,332 Service Station,2
2016,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,337 Shopping Complex,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,33 Retail,338 Car Sales Yard,7
2016,B20 Property damage,B29 Other property damage offences,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2016,B20 Property damage,B29 Other property damage offences,3 Other,36 Manufacturing,361 Factory,4
2016,B20 Property damage,B29 Other property damage offences,3 Other,36 Manufacturing,362 Any Manufacturing,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,37 Agricultural,373 Other Agricultural,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,38 Recreational,381 Licenced Premises,3
2016,B20 Property damage,B29 Other property damage offences,3 Other,38 Recreational,384 Sport Area/Facility,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,38 Recreational,386 Other Rec./Sports,1
2016,B20 Property damage,B29 Other property damage offences,3 Other,39 Other location,392 Other Location (Not Elsewhere),11
2016,B20 Property damage,B29 Other property damage offences,3 Other,39 Other location,394 Veterinary Clinic,2
2016,B20 Property damage,B29 Other property damage offences,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,43
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,504
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,112 House,"2,663"
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,113 Bungalow,21
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,12
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,115 Houseboat,1
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,116 Ministry Of Housing,23
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,11 Dwelling - private,117 Farm House,9
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,121 Boarding House,34
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,124 Nursing Home,13
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,21
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,10
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,132 Backyard,11
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,133 Frontyard,21
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,134 Garage,165
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,135 Shed,5
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,2
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),9
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,20
2016,B30 Burglary/Break and enter,B311 Residential aggravated burglary,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,3
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,21 Education,211 School,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,22 Health,223 Dental,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,23 Religious,231 Church,3
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,25 Other Transport,255 Carpark (Single Level),2
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,27 Open Space,275 Other Open Space,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2 Community,28 Street/footpath,281 Street/Lane/Footpath,10
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,31 Admin/professional,311 Business Office,13
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,32 Financial,321 Bank,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,331 Chemist/Pharmacy,2
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,3310 24Hr Convenience,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,3311 Restaurant/Fastfood,7
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,3312 Other Retail,14
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,332 Service Station,2
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,335 Supermarket,4
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,336 Department Store,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,337 Shopping Complex,3
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,33 Retail,339 Milkbar,4
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,34 Wholesale,341 Any Wholesale,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,36 Manufacturing,361 Factory,8
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,36 Manufacturing,362 Any Manufacturing,5
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,37 Agricultural,371 Farmland/Agricultural,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,38 Recreational,381 Licenced Premises,8
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,38 Recreational,382 Tab,2
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,38 Recreational,384 Sport Area/Facility,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,38 Recreational,386 Other Rec./Sports,1
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,39 Other location,392 Other Location (Not Elsewhere),18
2016,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3 Other,39 Other location,393 Construction Site,1
2016,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,13
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,"3,548"
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,112 House,"19,352"
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,113 Bungalow,173
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,71
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,115 Houseboat,12
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,116 Ministry Of Housing,198
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,11 Dwelling - private,117 Farm House,107
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,121 Boarding House,114
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,122 Holiday Home,463
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,123 Guest House,25
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,124 Nursing Home,31
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,180
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,133
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,5
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,1310 Farm Building,140
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,132 Backyard,157
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,133 Frontyard,60
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,134 Garage,"3,059"
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,135 Shed,"1,604"
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,"1,174"
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),137
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,75
2016,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,547
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,21 Education,211 School,976
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,21 Education,212 School Grounds,136
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,21 Education,213 Other Educational,293
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,22 Health,221 Hospital,61
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,22 Health,222 Medical Centre,193
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,22 Health,223 Dental,57
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,22 Health,224 Other Health,161
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,23 Religious,231 Church,265
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,23 Religious,232 Other religious,28
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,241 Train,1
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,242 Train Station,19
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,244 Tram/Tram Stop,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,246 Depot/Terminal,10
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,247 Freight Yard,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,24 Public Transport,248 Office (Public transport office Only),6
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,251 Private Car,4
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,252 Airfield,7
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,253 Boat,1
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,254 Dock/Wharf,4
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,255 Carpark (Single Level),78
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,256 Carpark (Multi Level),67
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,25 Other Transport,257 Other Transport Type/Area,19
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,26 Justice,261 Police Station,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,26 Justice,262 Court,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,26 Justice,263 Prison/Detention Centre,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,26 Justice,264 Youth Training Centre,1
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,26 Justice,265 Other Justice Facility,3
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,27 Open Space,271 Parkland/Reserve,205
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,27 Open Space,272 Rural,17
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,27 Open Space,273 Vacant Block,8
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,27 Open Space,274 Beach Foreshore,55
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,27 Open Space,275 Other Open Space,33
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,28 Street/footpath,281 Street/Lane/Footpath,58
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,29 Other community location,291 Cemetery,16
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,29 Other community location,292 Civic Centre,82
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,29 Other community location,293 Gallery,11
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,2 Community,29 Other community location,294 Car Wash,56
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,31 Admin/professional,311 Business Office,"1,409"
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,31 Admin/professional,312 Other Admin/Professional,383
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,32 Financial,321 Bank,22
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,32 Financial,322 Credit Society,1
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,32 Financial,323 ATM/Eftpos,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,32 Financial,324 Other Financial,6
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,331 Chemist/Pharmacy,125
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,3310 24Hr Convenience,19
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,3311 Restaurant/Fastfood,"1,784"
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,3312 Other Retail,"3,010"
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,332 Service Station,293
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,333 Jeweller,54
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,334 2nd Hand Dealer,22
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,335 Supermarket,254
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,336 Department Store,193
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,337 Shopping Complex,534
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,338 Car Sales Yard,173
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,33 Retail,339 Milkbar,131
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,34 Wholesale,341 Any Wholesale,115
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,35 Warehousing/storage,351 Warehousing/Storage,819
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,36 Manufacturing,361 Factory,"1,221"
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,36 Manufacturing,362 Any Manufacturing,219
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,37 Agricultural,371 Farmland/Agricultural,198
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,37 Agricultural,372 Orchard,4
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,37 Agricultural,373 Other Agricultural,108
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,38 Recreational,381 Licenced Premises,323
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,38 Recreational,382 Tab,4
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,38 Recreational,383 Cinema,7
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,38 Recreational,384 Sport Area/Facility,611
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,38 Recreational,385 Gaming Venue,46
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,38 Recreational,386 Other Rec./Sports,450
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,39 Other location,391 Massage Parlour/Brothel,2
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,39 Other location,392 Other Location (Not Elsewhere),568
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,39 Other location,393 Construction Site,751
2016,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,3 Other,39 Other location,394 Veterinary Clinic,58
2016,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,193
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,150
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,112 House,"1,152"
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,113 Bungalow,2
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,3
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,115 Houseboat,1
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,11 Dwelling - private,117 Farm House,17
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,12 Dwelling  - non-private,121 Boarding House,4
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,12 Dwelling  - non-private,122 Holiday Home,11
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,12 Dwelling  - non-private,124 Nursing Home,6
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,16
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,13
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,1310 Farm Building,23
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,132 Backyard,89
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,133 Frontyard,563
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,134 Garage,312
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,135 Shed,91
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,20
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),29
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,"1,200"
2016,B40 Theft,B41 Motor vehicle theft,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,232
2016,B40 Theft,B41 Motor vehicle theft,2 Community,21 Education,211 School,14
2016,B40 Theft,B41 Motor vehicle theft,2 Community,21 Education,212 School Grounds,14
2016,B40 Theft,B41 Motor vehicle theft,2 Community,21 Education,213 Other Educational,8
2016,B40 Theft,B41 Motor vehicle theft,2 Community,22 Health,221 Hospital,13
2016,B40 Theft,B41 Motor vehicle theft,2 Community,22 Health,222 Medical Centre,3
2016,B40 Theft,B41 Motor vehicle theft,2 Community,22 Health,224 Other Health,7
2016,B40 Theft,B41 Motor vehicle theft,2 Community,23 Religious,231 Church,1
2016,B40 Theft,B41 Motor vehicle theft,2 Community,23 Religious,232 Other religious,1
2016,B40 Theft,B41 Motor vehicle theft,2 Community,24 Public Transport,242 Train Station,42
2016,B40 Theft,B41 Motor vehicle theft,2 Community,24 Public Transport,243 Railway Carpark,287
2016,B40 Theft,B41 Motor vehicle theft,2 Community,24 Public Transport,246 Depot/Terminal,1
2016,B40 Theft,B41 Motor vehicle theft,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2016,B40 Theft,B41 Motor vehicle theft,2 Community,25 Other Transport,251 Private Car,19
2016,B40 Theft,B41 Motor vehicle theft,2 Community,25 Other Transport,252 Airfield,2
2016,B40 Theft,B41 Motor vehicle theft,2 Community,25 Other Transport,255 Carpark (Single Level),679
2016,B40 Theft,B41 Motor vehicle theft,2 Community,25 Other Transport,256 Carpark (Multi Level),157
2016,B40 Theft,B41 Motor vehicle theft,2 Community,25 Other Transport,257 Other Transport Type/Area,20
2016,B40 Theft,B41 Motor vehicle theft,2 Community,26 Justice,261 Police Station,2
2016,B40 Theft,B41 Motor vehicle theft,2 Community,26 Justice,262 Court,1
2016,B40 Theft,B41 Motor vehicle theft,2 Community,27 Open Space,271 Parkland/Reserve,35
2016,B40 Theft,B41 Motor vehicle theft,2 Community,27 Open Space,272 Rural,13
2016,B40 Theft,B41 Motor vehicle theft,2 Community,27 Open Space,273 Vacant Block,14
2016,B40 Theft,B41 Motor vehicle theft,2 Community,27 Open Space,274 Beach Foreshore,1
2016,B40 Theft,B41 Motor vehicle theft,2 Community,27 Open Space,275 Other Open Space,23
2016,B40 Theft,B41 Motor vehicle theft,2 Community,27 Open Space,276 Beach Car Park,3
2016,B40 Theft,B41 Motor vehicle theft,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"3,184"
2016,B40 Theft,B41 Motor vehicle theft,2 Community,29 Other community location,291 Cemetery,3
2016,B40 Theft,B41 Motor vehicle theft,2 Community,29 Other community location,292 Civic Centre,4
2016,B40 Theft,B41 Motor vehicle theft,2 Community,29 Other community location,294 Car Wash,12
2016,B40 Theft,B41 Motor vehicle theft,3 Other,31 Admin/professional,311 Business Office,96
2016,B40 Theft,B41 Motor vehicle theft,3 Other,31 Admin/professional,312 Other Admin/Professional,10
2016,B40 Theft,B41 Motor vehicle theft,3 Other,32 Financial,321 Bank,2
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,3310 24Hr Convenience,6
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,3311 Restaurant/Fastfood,15
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,3312 Other Retail,128
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,332 Service Station,69
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,334 2nd Hand Dealer,3
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,335 Supermarket,8
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,337 Shopping Complex,71
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,338 Car Sales Yard,167
2016,B40 Theft,B41 Motor vehicle theft,3 Other,33 Retail,339 Milkbar,2
2016,B40 Theft,B41 Motor vehicle theft,3 Other,34 Wholesale,341 Any Wholesale,7
2016,B40 Theft,B41 Motor vehicle theft,3 Other,35 Warehousing/storage,351 Warehousing/Storage,95
2016,B40 Theft,B41 Motor vehicle theft,3 Other,36 Manufacturing,361 Factory,182
2016,B40 Theft,B41 Motor vehicle theft,3 Other,36 Manufacturing,362 Any Manufacturing,12
2016,B40 Theft,B41 Motor vehicle theft,3 Other,37 Agricultural,371 Farmland/Agricultural,28
2016,B40 Theft,B41 Motor vehicle theft,3 Other,37 Agricultural,372 Orchard,2
2016,B40 Theft,B41 Motor vehicle theft,3 Other,37 Agricultural,373 Other Agricultural,14
2016,B40 Theft,B41 Motor vehicle theft,3 Other,38 Recreational,381 Licenced Premises,24
2016,B40 Theft,B41 Motor vehicle theft,3 Other,38 Recreational,382 Tab,1
2016,B40 Theft,B41 Motor vehicle theft,3 Other,38 Recreational,384 Sport Area/Facility,19
2016,B40 Theft,B41 Motor vehicle theft,3 Other,38 Recreational,385 Gaming Venue,8
2016,B40 Theft,B41 Motor vehicle theft,3 Other,38 Recreational,386 Other Rec./Sports,22
2016,B40 Theft,B41 Motor vehicle theft,3 Other,39 Other location,392 Other Location (Not Elsewhere),118
2016,B40 Theft,B41 Motor vehicle theft,3 Other,39 Other location,393 Construction Site,34
